ST01Q01,International Grade,Me,International Grade,,,,,,,,2012,,,,,,,,,,,
ICTATTPOS,Attitudes Towards Computers: Computer as a Tool for School Learning,OECDindex,Attitudes Towards Computers: Computer as a Tool for School Learning,,,מדדים,גישה למחשבים,מחשב ככלי לימוד בבית ספר,,,2012,,,,,,,,,,,
ICTHOME,ICT Availability at Home,OECDindex,ICT Availability at Home,,,מדדים,,,,,2012,,,,,,,,,,,
ICTSCH,ICT Availability at School,OECDindex,ICT Availability at School,,,מדדים,,,,,2012,,,,,,,,,,,
IMMIG,Immigration status,OECDindex,Immigration status,,,מדדים,סטטוס הגירה,,,,2012,,,,,,,,,,,
INFOCAR,Information about Careers,OECDindex,Information about Careers,,,מדדים,מידע על קריירה,,,,2012,,,,,,,,,,,
INFOJOB1,Information about the Labour Market provided by the School,OECDindex,Information about the Labour Market provided by the School,,,מדדים,מידע על שוק העבודה שמסופק בבית הספר,,,,2012,,,,,,,,,,,
INFOJOB2,Information about the Labour Market provided outside of School,OECDindex,Information about the Labour Market provided outside of School,,,מדדים,מידע על שוק העבודה שמסופק מחוץ לבית הספר,,,,2012,,,,,,,,,,,
INSTMOT,Instrumental Motivation for Mathematics,OECDindex,Instrumental Motivation for Mathematics,,,מדדים,מוטיבציה אינסטרומנטלית למתמטיקה,,,,2012,,,,,,,,,,,
INTMAT,Mathematics Interest,OECDindex,Mathematics Interest,,,מדדים,עניין במתמטיקה,,,,2012,,,,,,,,,,,
ISCEDD,ISCED designation,OECDindex,ISCED designation,,,מדדים,,,,,2012,,,,,,,,,,,
ISCEDL,ISCED level,OECDindex,ISCED level,,,מדדים,,,,,2012,,,,,,,,,,,
ISCEDO,ISCED orientation,OECDindex,ISCED orientation,,,מדדים,,,,,2012,,,,,,,,,,,
LANGCOMM,Preference for Heritage Language in Conversations with Family and Friends,OECDindex,Preference for Heritage Language in Conversations with Family and Friends,,,מדדים,,,,,2012,,,,,,,,,,,
LANGN,Language at home (3-digit code),OECDindex,Language at home (3,digit code),,מדדים,שפה בבית,,,,2012,,,,,,,,,,,
LANGRPPD,Preference for Heritage Language in Language Reception and Production,OECDindex,Preference for Heritage Language in Language Reception and Production,,,מדדים,,,,,2012,,,,,,,,,,,
LMINS,Learning time (minutes per week) - <test language>,OECDindex,Learning time (minutes per week),<test language>,,מדדים,,,,,2012,,,,,,,,,,,
MATBEH,Mathematics Behaviour,OECDindex,Mathematics Behaviour,,,מדדים,התנהגות מתמטיקה,,,,2012,,,,,,,,,,,
MATHEFF,Mathematics Self-Efficacy,OECDindex,Mathematics Self,Efficacy,,מדדים,הערכה עצמית במתמטיקה,,,,2012,,,,,,,,,,,
MATINTFC,Mathematics Intentions,OECDindex,Mathematics Intentions,,,מדדים,,,,,2012,,,,,,,,,,,
MATWKETH,Mathematics Work Ethic,OECDindex,Mathematics Work Ethic,,,מדדים,אתיקת עבודה במתמטיקה,,,,2012,,,,,,,,,,,
MISCED,Educational level of mother (ISCED),OECDindex,Educational level of mother (ISCED),,,מדדים,,,,,2012,,,,,,,,,,,
MMINS,Learning time (minutes per week)- <Mathematics>,OECDindex,Learning time (minutes per week),<Mathematics>,,מדדים,זמן למידה בשבוע (בדקות),מתמטיקה,,,2012,,,,,,,,,,,
MTSUP,Mathematics Teacher's Support,OECDindex,Mathematics Teacher's Support,,,מדדים,תמיכת המורה למתמטיקה,,,,2012,,,,,,,,,,,
OCOD1,ISCO-08 Occupation code - Mother,OECDindex,ISCO,08 Occupation code,Mother,מדדים,,,,,2012,,,,,,,,,,,
OCOD2,ISCO-08 Occupation code - Father,OECDindex,ISCO,08 Occupation code,Father,מדדים,,,,,2012,,,,,,,,,,,
OPENPS,Openness for Problem Solving,OECDindex,Openness for Problem Solving,,,מדדים,פתיחות לפתירת בעיות,,,,2012,,,,,,,,,,,
OUTHOURS,Out-of-School Study Time,OECDindex,Out,of,School Study Time,מדדים,זמן למידה מחוץ לבית הספר,,,,2012,,,,,,,,,,,
PARED,Highest parental education in years,OECDindex,Highest parental education in years,,,מדדים,,,,,2012,,,,,,,,,,,
PERSEV,Perseverance,OECDindex,Perseverance,,,מדדים,,,,,2012,,,,,,,,,,,
REPEAT,Grade Repetition,OECDindex,Grade Repetition,,,מדדים,,,,,2012,,,,,,,,,,,
SCMAT,Mathematics Self-Concept,OECDindex,Mathematics Self,Concept,,מדדים,הערכה עצמית במתמטיקה,,,,2012,,,,,,,,,,,
SMINS,Learning time (minutes per week) - <Science>,OECDindex,Learning time (minutes per week),<Science>,,מדדים,זמן למידה בשבוע (בדקות),מדעים,,,2012,,,,,,,,,,,
STUDREL,Teacher Student Relations,OECDindex,Teacher Student Relations,,,מדדים,יחסי מורה-תלמיד,,,,2012,,,,,,,,,,,
SUBNORM,Subjective Norms in Mathematics,OECDindex,Subjective Norms in Mathematics,,,מדדים,נורמות אישיות במתמטיקה,,,,2012,,,,,,,,,,,
TCHBEHFA,Teacher Behaviour: Formative Assessment,OECDindex,Teacher Behaviour: Formative Assessment,,,מדדים,התנהגות מורה,הערכה פורמלית,,,2012,,,,,,,,,,,
TCHBEHSO,Teacher Behaviour: Student Orientation,OECDindex,Teacher Behaviour: Student Orientation,,,מדדים,התנהגות מורה,אוריינות תלמיד,,,2012,,,,,,,,,,,
TCHBEHTD,Teacher Behaviour: Teacher-directed Instruction,OECDindex,Teacher Behaviour: Teacher,directed Instruction,,מדדים,התנהגות מורה,,,,2012,,,,,,,,,,,
TEACHSUP,Teacher Support,OECDindex,Teacher Support,,,מדדים,תמיכת מורה,,,,2012,,,,,,,,,,,
TESTLANG,Language of the test,OECDindex,Language of the test,,,מדדים,שפת המבחן,,,,2012,,,,,,,,,,,
TIMEINT,Time of computer use (mins),OECDindex,Time of computer use (mins),,,מדדים,זמן שימוש במחשב (דקות),,,,2012,,,,,,,,,,,
USEMATH,Use of ICT in Mathematic Lessons,OECDindex,Use of ICT in Mathematic Lessons,,,מדדים,,,,,2012,,,,,,,,,,,
USESCH,Use of ICT at School,OECDindex,Use of ICT at School,,,מדדים,,,,,2012,,,,,,,,,,,
WEALTH,Wealth,OECDindex,Wealth,,,מדדים,עושר,,,,2012,,,,,,,,,,,
ANCATSCHL,Attitude towards School: Learning Outcomes (Anchored),OECDindex,Attitude towards School: Learning Outcomes (Anchored),,,מדדים,גישה לבית הספר,למידת תוצרים,עוגן,,2012,,,,,,,,,,,
ANCATTLNACT,Attitude towards School: Learning Activities (Anchored),OECDindex,Attitude towards School: Learning Activities (Anchored),,,מדדים,גישה לבית הספר,למידת פעילויות,עוגן,,2012,,,,,,,,,,,
ANCBELONG,Sense of Belonging to School (Anchored),OECDindex,Sense of Belonging to School (Anchored),,,מדדים,תחושת שייכות לבית הספר,,עוגן,,2012,,,,,,,,,,,
ANCCLSMAN,Mathematics Teacher's Classroom Management (Anchored),OECDindex,Mathematics Teacher's Classroom Management (Anchored),,,מדדים,ניהול הכיתה של מורת מתמטיקה,,עוגן,,2012,,,,,,,,,,,
ANCCOGACT,Cognitive Activation in Mathematics Lessons (Anchored),OECDindex,Cognitive Activation in Mathematics Lessons (Anchored),,,מדדים,פעילות קוגנטיבית בשיעורי מתמטיקה,,עוגן,,2012,,,,,,,,,,,
ANCINSTMOT,Instrumental Motivation for Mathematics (Anchored),OECDindex,Instrumental Motivation for Mathematics (Anchored),,,מדדים,מוטיבציה אינסטרומנטלית למתמטיקה,,עוגן,,2012,,,,,,,,,,,
ANCINTMAT,Mathematics Interest (Anchored),OECDindex,Mathematics Interest (Anchored),,,מדדים,עניין במתמטיקה,,עוגן,,2012,,,,,,,,,,,
ANCMATWKETH,Mathematics Work Ethic (Anchored),OECDindex,Mathematics Work Ethic (Anchored),,,מדדים,אתיקת עבודה במתמטיקה,,עוגן,,2012,,,,,,,,,,,
ANCMTSUP,Mathematics Teacher's Support (Anchored),OECDindex,Mathematics Teacher's Support (Anchored),,,מדדים,תמיכת המורה למתמטיקה,,עוגן,,2012,,,,,,,,,,,
ANCSCMAT,Mathematics Self-Concept (Anchored),OECDindex,Mathematics Self,Concept (Anchored),,מדדים,הערכה עצמית במתמטיקה,,עוגן,,2012,,,,,,,,,,,
ANCSTUDREL,Teacher Student Relations (Anchored),OECDindex,Teacher Student Relations (Anchored),,,מדדים,יחסי מורה-תלמיד,,עוגן,,2012,,,,,,,,,,,
ANCSUBNORM,Subjective Norms in Mathematics (Anchored),OECDindex,Subjective Norms in Mathematics (Anchored),,,מדדים,נורמות אישיות במתמטיקה,,עוגן,,2012,,,,,,,,,,,
SC01Q01,Public or private,The Structure and Organisation of the School,,,Is your school a public or a private school?,אופי בית הספר,ציבורי או פרטי,,,,2012,,,,,,,,,,,
SC02Q01,Funding - Government,The Structure and Organisation of the School,,Government (includes departments,local,regional,state and national),About what percentage of your total funding for a typical school year comes from the following sources?,אופי בית הספר,מימון ממשלתי,,משרדי ממשלה ורשויות מקומיות,איזה אחוז מסך המימון לשנת לימודים אופיינית מגיע מן המקורות הבאים. בך הכל 100%,2012,,,,,,,,
SC02Q02,Funding - Student fees,The Structure and Organisation of the School,,Student fees or school charges paid by parents,About what percentage of your total funding for a typical school year comes from the following sources?,אופי בית הספר,מימון הורים,,שכר לימוד או תשלומי הורים לבית הספר,,2012,,,,,,,,,,,
SC02Q03,Funding - Benefactors,The Structure and Organisation of the School,,Benefactors,donations,bequests,sponsorships,parent fundraising,About what percentage of your total funding for a typical school year comes from the following sources?,אופי בית הספר,מימון תורמים,,תרומות,עיזבונות,נותני חסות,מגביות שמארגנים ההורים,,2012,,,,
SC02Q04,Funding - Other,The Structure and Organisation of the School,,Other,About what percentage of your total funding for a typical school year comes from the following sources?,אופי בית הספר,מימון אחר,,אחר,,2012,,,,,,,,,,,
SC03Q01,School Location,The Structure and Organisation of the School,,,Which of the following definitions best describes the community in which your school is located?,אופי בית הספר,גודל יישוב,,איזה מן ההגדרות הבאות היא המתאימה ביותר לתיאור הקהילה שבה נמצא בית הספר שלך? כפר,יישוב קהילתי או אזור חקלאי (פחות מ-3,000 תושבים); עיירה (3,000 עד 15,000 תושבים); עיר קטנה (15,000 עד 100,000 תושבים); עיר בינונית (100,000 עד בסביבות 1,0,000 תושבים); עיר גדולה (למעלה מ-1,0,000 תושבים).,,2012
SC04Q01,Competition between schools,The Structure and Organisation of the School,,,the options parents have when choosing a school for their children,אופי בית הספר,תחרות עם בתי ספר,,אנו מעוניינים לדעת מהן האפשרויות העומדות בפני ההורים כשהם בוחרים בית ספר עבור ילדיהם. איזה מהקביעות הבאות היא המתאימה ביותר לתיאור אפשרויות הלימוד בסביבתך? יש שני בתי ספר או יותר באזור הזה המתחרים על התלמידים שלנו; יש עוד בית ספר אחד באזור זה המתחרה על התלמידים שלנו; אין עוד בתי ספר באזור זה המתחרים על התלמידים שלנו.,,2012,,,,,,,,,,,
SC05Q01,Class size in <test language>,The Structure and Organisation of the School,,,What is the average size of classes in <national modal grade for 15-year-olds> in your school?,אופי בית הספר,גודל כיתות,סך הכל,,,2012,,,,,,,,,,,
SC07Q01,Enrolment - Number of boys,The Student and Teacher Body,,,,אופי בית הספר,גודל כיתות,בנים,,,2012,,,,,,,,,,,
SC07Q02,Enrolment - Number of girls,The Student and Teacher Body,,,,אופי בית הספר,גודל כיתות,בנות,,,2012,,,,,,,,,,,
SC09Q11,No. of teachers - Total Full Time,The Student and Teacher Body,,,,מורים,מספר מורים,משרה מלאה,,,2012,,,,,,,,,,,
SC09Q12,No. of teachers - Total Part time,The Student and Teacher Body,,,,מורים,מספר מורים,משרה חלקית,,,2012,,,,,,,,,,,
SC09Q21,No. of teachers - Certified Full Time,The Student and Teacher Body,,,,מורים,מספר מורים,מוסמכים על ידי משרד החינוך במשרה מלאה,,,2012,,,,,,,,,,,
SC09Q22,No. of teachers - Certified Part Time,The Student and Teacher Body,,,,מורים,מספר מורים,מוסמכים על ידי משרד החינוך במשרה חלקית,,,2012,,,,,,,,,,,
SC09Q31,No. of teachers - <ISCED5A> Qualified Full Time,The Student and Teacher Body,,,,מורים,מספר מורים,בעלי תואר אקדמי במשרה מלאה,,,2012,,,,,,,,,,,
SC09Q32,No. of teachers - <ISCED5A> Qualified Part Time,The Student and Teacher Body,,,,מורים,מספר מורים,בעלי תואר אקדמי במשרה חלקית,,,2012,,,,,,,,,,,
SC10Q11,No. of maths teachers - Total Full Time,The Student and Teacher Body,,,,מורים,מספר מורים למתמטיקה,משרה מלאה,,,2012,,,,,,,,,,,
SC10Q12,No. of maths teachers - Total Part time,The Student and Teacher Body,,,,מורים,מספר מורים למתמטיקה,משרה חלקית,,,2012,,,,,,,,,,,
SC10Q21,No. of maths teachers - <ISCED5A> Qual Maths Major Full Time,The Student and Teacher Body,,,,מורים,מספר מורים למתמטיקה,בעלי תואר במתמטיקה במשרה מלאה,,,2012,,,,,,,,,,,
SC10Q22,No. of maths teachers - <ISCED5A> Qual Maths Major Part Time,The Student and Teacher Body,,,,מורים,מספר מורים למתמטיקה,בעלי תואר במתמטיקה במשרה חלקית,,,2012,,,,,,,,,,,
SC10Q41,No. of maths teachers - <ISCED5A> Qual Pedagogy Full Time,The Student and Teacher Body,,,,מורים,מספר מורים למתמטיקה,,,,2012,,,,,,,,,,,
SC10Q42,No. of maths teachers - <ISCED5A> Qual Pedagogy Part Time,The Student and Teacher Body,,,,מורים,מספר מורים למתמטיקה,,,,2012,,,,,,,,,,,
SC10Q51,No. of maths teachers - <ISCED5B> Qual Full Time,The Student and Teacher Body,,,,מורים,מספר מורים למתמטיקה,,,,2012,,,,,,,,,,,
SC10Q52,No. of maths teachers - <ISCED5B> Qual Part Time,The Student and Teacher Body,,,,מורים,מספר מורים למתמטיקה,,,,2012,,,,,,,,,,,
SC10Q61,No. of maths teachers - <ISCED5A> Qual Full Time,The Student and Teacher Body,,,,מורים,מספר מורים למתמטיקה,,,,2012,,,,,,,,,,,
SC10Q62,No. of maths teachers - <ISCED5A> Qual Part Time,The Student and Teacher Body,,,,מורים,מספר מורים למתמטיקה,,,,2012,,,,,,,,,,,
SC11Q01,Student Computers - Total number of students in the <national modal grade for 15-year-olds>,The School's Resources,,,,בית הספר,מספר תלמידים,בשכבה י,מה סך כל התלמידים בכיתה י' בבית הספר שלך?,,2012,,,,,,,,,,,
SC11Q02,Student Computers - Computers for Education,The School's Resources,,,,משאבי בית הספר,מחשבים לצרכים לימודיים,בערך כמה מחשבים עומדים לרשות תלמידים אלה לצרכים לימודיים,,,2012,,,,,,,,,,,
SC11Q03,Student Computers - Computers with Internet,The School's Resources,,,,משאבי בית הספר,מחשבים מחוברים לאינטרנט,"בערך כמה מחשבים מתוך הנ""ל מחוברים לאינטרנט",,,2012,,,,,,,,,,,
SC13Q01,Internet schoolwork - Lessons,The School's Resources,,,,משאבי בית הספר,שימוש באינטרנט,בשיעורים,,,2012,,,,,,,,,,,
SC13Q02,Internet schoolwork - Homework,The School's Resources,,,,משאבי בית הספר,שימוש באינטרנט,בשיעורי בית,,,2012,,,,,,,,,,,
